firstName|lastName|positionType|destination
Nykeim|Johnson|Offense|Kent State
Taj|Mustapha|Offense|Kent State
Dare|Rosenthal|Offense|Kentucky
Jacquez|Jones|Defense|Kentucky
Justice|Dingle|Defense|Kentucky
Luke|Fulton|Defense|Kentucky
Tre'Von|Morgan|Offense|Kentucky
Wan'Dale|Robinson|Offense|Kentucky
Will|Levis|Offense|Kentucky
Cedric|Stone|Defense|Liberty
Duron|Lowe|Defense|Liberty
Kaidon|Salter|Offense|Liberty
Rashaad|Harding|Defense|Liberty
Skyler|Thomas|Defense|Liberty
T.J.|Green|Offense|Liberty
Ben|Wooldridge|Offense|Louisiana
Clinton|Anokwuru|Defense|Louisiana
Jacob|Kibodi|Offense|Louisiana
John|Stephens|Offense|Louisiana
Lance|LeGendre|Offense|Louisiana
Matthew|Anderson|Offense|Louisiana
Michael|Jefferson|Offense|Louisiana
T.J.|Fiailoa|Defense|Louisiana
Tyrone|Lewis|Defense|Louisiana
Adam|Sparks|Defense|Louisiana Monroe
Dariyan|Wiley|Offense|Louisiana Monroe
Jacquez|Williams|Defense|Louisiana Monroe
Jalen|Jackson|Offense|Louisiana Monroe
Jared|Sparks|Offense|Louisiana Monroe
Jordyn|Riley|Defense|Louisiana Monroe
Josh|Pederson|Offense|Louisiana Monroe
Keydrell|Lewis|Offense|Louisiana Monroe
Mark|Williams|Defense|Louisiana Monroe
Nolan|Quinlan|Offense|Louisiana Monroe
Perry|Carter|Offense|Louisiana Monroe
Rhett|Rodriguez|Offense|Louisiana Monroe
Stacey|Wilkins|Offense|Louisiana Monroe
Willie|Tyler|Defense|Louisiana Monroe
Zachari|Jackson|Offense|Louisiana Monroe
Austin|Kendall|Offense|Louisiana Tech
Baylen|Buchanan|Defense|Louisiana Tech
Christopher|Fournier|Defense|Louisiana Tech
Elijah|Hamilton|Defense|Louisiana Tech
Keyon|Henry-Brooks|Offense|Louisiana Tech
Marcus|Williams Jr|Offense|Louisiana Tech
Myles|Mason|Defense|Louisiana Tech
Samuel|Emilus|Offense|Louisiana Tech
Samuel|Williams|Offense|Louisiana Tech
Bryan|Hudson|Offense|Louisville
Jacques|Turner|Defense|Louisville
Jawhar|Jordan|Offense|Louisville
Kenderick|Duncan|Defense|Louisville
Qwynnterrio|Cole|Defense|Louisville
Shai|Werts|UNK|Louisville
Major|Burns|Defense|LSU
Mike|Jones Jr.|Defense|LSU
Billy|Ross|Offense|Marshall
Jayden|Harrison|Offense|Marshall
LeAnthony|Williams Jr.|Defense|Marshall
Shane|Simmons|Defense|Marshall
Steven|Faucheux|Defense|Marshall
TyQaze|Leggs|Defense|Marshall
Marcus|Fleming|Offense|Maryland
An'Darius|Coffey|Defense|Memphis
Austin|Myers|Offense|Memphis
Devon|Robinson|Defense|Memphis
Devontae|Dobbs|Offense|Memphis
Grant|Gunnell|UNK|Memphis
Greg|Emerson|Defense|Memphis
Jakari|Robinson|Defense|Memphis
Jeremiah|Oatsvall|Offense|Memphis
Joe|Doyle|Special|Memphis
Julian|Barnett|Defense|Memphis
Peter|Parrish|Offense|Memphis
Rush|Lansdell|Defense|Memphis
Shamar|Nash|Offense|Memphis
Charleston|Rambo|Offense|Miami
Deandre|Johnson|Defense|Miami
Justice|Oluwaseun|Defense|Miami
Tyrique|Stevenson|Defense|Miami
Emmanuel|Rugamba|Defense|Miami (OH)
Keyon|Mozee|Offense|Miami (OH)
Alan|Bowman|Offense|Michigan
Daylen|Baldwin|Offense|Michigan
Jordan|Whittley|Defense|Michigan
Lance|Dixon|Defense|Michigan
Willie|Allen|Offense|Michigan
Anthony|Russo|Offense|Michigan State
Ben|VanSumeren|Defense|Michigan State
Chester|Kimbrough|Defense|Michigan State
Christian|Fitzpatrick|Offense|Michigan State
Drew|Jordan|Defense|Michigan State
Harold|Joiner|Offense|Michigan State
Itayvion|Brown|Defense|Michigan State
Jarrett|Horst|Offense|Michigan State
Kenneth|Walker|Offense|Michigan State
Khary|Crump|Defense|Michigan State
Maliq|Carr|Offense|Michigan State
Marqui|Lowery Jr|Defense|Michigan State
Quavaris|Crouch|Defense|Michigan State
Ronald|Williams|Defense|Michigan State
Bailey|Hockman|Offense|Middle Tennessee
Jamari|Williams|Defense|Middle Tennessee
Joseph|Honeysucker|Defense|Middle Tennessee
Majon|Wright|Offense|Middle Tennessee
Netori|Johnson|Defense|Middle Tennessee
Yusuf|Ali|Offense|Middle Tennessee
Dylan|Wright|Offense|Minnesota
Jack|Gibbens|Defense|Minnesota
Karter|Shaw|Offense|Minnesota
Matthew|Trickett|Special|Minnesota
Nyles|Pinckney|Defense|Minnesota
Val|Martin|Defense|Minnesota
Will|Mobley|Special|Minnesota
Chance|Lovertich|Offense|Mississippi State
Jack|Abraham|Offense|Mississippi State
Jack|Kristofek|Offense|Mississippi State
Jalen|Green|Defense|Mississippi State
Jamire|Calvin|Offense|Mississippi State
Jonathan|Alexander|Defense|Mississippi State
Makai|Polk|Offense|Mississippi State
Randy|Charlton|Defense|Mississippi State
Akayleb|Evans|Defense|Missouri
Allie|Green|Defense|Missouri
Blaze|Alldredge|Defense|Missouri
EJ|Ndoma-Ogar|Defense|Missouri
Mookie|Cooper|Offense|Missouri
Chandler|Zavala|Defense|NC State
Cory|Durden|Defense|NC State
Cyrus|Fagan|Defense|NC State
Derrek|Pitts|Defense|NC State
Chris|Kolarevic|Defense|Nebraska
Markese|Stepp|Offense|Nebraska
Oliver|Martin|Offense|Nebraska
Samori|Toure|Offense|Nebraska
Tyreke|Johnson|Defense|Nebraska
Bentlee|Sanders|Defense|Nevada
Chad|Brown|Defense|Nevada
Isaiah|Essissima|Defense|Nevada
Jacob|Nunez|Defense|Nevada
Marquis|Spiker|Offense|Nevada
Tyrese|Mack|Offense|Nevada
CJ|Boone|Offense|New Mexico
Jack|Buford|Offense|New Mexico
Jeffrey|Blake|Defense|New Mexico
Terry|Wilson|Offense|New Mexico
Eli|Johnson|Defense|New Mexico State
Ty|Chandler|Offense|North Carolina
Rocky|Lombardi|Offense|Northern Illinois
Enoch|Jackson|Defense|North Texas
Greg|Francis|Defense|North Texas
Jace|Ruder|Offense|North Texas
Jacob|Farrell|Offense|North Texas
John|Davis|Defense|North Texas
Logan|Wilson|Defense|North Texas
Makyle|Sanders|Defense|North Texas
Ridge|Texada|Defense|North Texas
Sean-Thomas|Faulkner|Defense|North Texas
Tommy|Bush|Offense|North Texas
TyRae|Thornton|Defense|North Texas
Andrew|Clair|Offense|Northwestern
Jeffery|Pooler|Defense|Northwestern
Jeremy|Meiser|Defense|Northwestern
Malik|Washington|Offense|Northwestern
Ryan|Hilinski|UNK|Northwestern
Stephon|Robinson|Offense|Northwestern
Trent|Carrington|Defense|Northwestern
Cain|Madden|Defense|Notre Dame
David|Adams|Defense|Notre Dame
Houston|Griffith|Defense|Notre Dame
Jack|Coan|UNK|Notre Dame
TJ|Jackson|Offense|Ohio
Noah|Ruggles|Special|Ohio State
Big Kat|Bryant|Defense|Oklahoma
D.J.|Matthews Jr.|Offense|Oklahoma
Eric|Gray|Offense|Oklahoma
Josh|Plaster|Special|Oklahoma
Kevontre|Bradford|Offense|Oklahoma
Key|Lawrence|Defense|Oklahoma
Micah|Bowens|UNK|Oklahoma
Mike|Woods|Offense|Oklahoma
Robert|Congel|Offense|Oklahoma
Wanya|Morris|Offense|Oklahoma
Chandler|Anthony|Offense|Oklahoma State
Danny|Godlevske|Defense|Oklahoma State
Davontavean|Martin|Offense|Oklahoma State
Jaylen|Warren|Offense|Oklahoma State
Trey|Rucker|Defense|Oklahoma State
Ali|Jennings|Offense|Old Dominion
D'Vion|Harris|Defense|Old Dominion
Darriel|Mack|Offense|Old Dominion
Robert|Kennedy|Defense|Old Dominion
Trey|Blount|Offense|Old Dominion
Tyran|Hunt|Offense|Old Dominion
Zack|Kuntz|Offense|Old Dominion
Chance|Campbell|Defense|Ole Miss
Jahcour|Pearson|Offense|Ole Miss
Nigel|Knott|Defense|Ole Miss
Deshaun|Fenwick|UNK|Oregon State
Elijah|Jones|Defense|Oregon State
Heneli|Bloomfield|Offense|Oregon State
Keonte|Schad|Defense|Oregon State
Makiya|Tongue|Offense|Oregon State
Sam|Noyer|Offense|Oregon State
A.J.|Lytton|Defense|Penn State
Arnold|Ebiketie|Defense|Penn State
Derrick|Tangelo|Defense|Penn State
Eric|Wilson|Offense|Penn State
John|Dixon|Defense|Penn State
John|Lovett|Offense|Penn State
DJ|Turner|Offense|Pittsburgh
MJ|Devonshire|Defense|Pittsburgh
Marcus|Minor|Offense|Pittsburgh
Melquise|Stovall|Offense|Pittsburgh
Broc|Thompson|Offense|Purdue
C.J.|McWilliams|Defense|Purdue
Christian|Gelov|Offense|Purdue
Damarjhe|Lewis|Defense|Purdue
Dylan|Downing|Offense|Purdue
Joseph|Anderson|Defense|Purdue
Octavius|Brothers|Defense|Purdue
Tyler|Witt|Offense|Purdue
Cedric|Patterson|Offense|Rice
Jake|Constantine|UNK|Rice
Luke|McCaffrey|Offense|Rice
Brandon|Sanders|Offense|Rutgers
Christian|Braswell|Defense|Rutgers
David|Nwaogwugwu|Offense|Rutgers
Ifeanyi|Maijeh|Defense|Rutgers
Josh|Youngblood|Offense|Rutgers
Malik|Barrow|Defense|Rutgers
Patrice|Rene|Defense|Rutgers
Jalen|Mayden|UNK|San Diego State
Tyrell|Shavers|Offense|San Diego State
Charles|Ross|Offense|San José State
Charlie|Rogers|Offense|San José State
Jalen|Hamler|Offense|San José State
Kenyon|Sims|Offense|San José State
Matthew|Tago|Defense|San José State
Ryan|Nixon|Defense|San José State
Skylar|Loving-Black|Offense|San José State
Trevon|Sidney|Offense|San José State
Will|Hart|Special|San José State
Blake|Mazza|Special|SMU
Charles|Woods|Defense|SMU
Grant|Calcaterra|Offense|SMU
Isaac|Slade-Matautia|Defense|SMU
Jahari|Rogers|Defense|SMU
John|Seter|Offense|SMU
Jordan|Kerley|Offense|SMU
Justin|Osborne|Offense|SMU
Nolan|Matthews|Offense|SMU
Simon|Gonzalez|Offense|SMU
Stephon|Wright|Defense|SMU
Tanner|Mordecai|UNK|SMU
Thalen|Robinson|Offense|SMU
Tre|Siggers|Offense|SMU
Allen|Dailey|Offense|South Alabama
Antawn|Lewis|Offense|South Alabama
Anterrious|Gray|Offense|South Alabama
Atanza|Vongor|Defense|South Alabama
Ethan|Rinke|Defense|South Alabama
Ja'Chai|Baker|Offense|South Alabama
Jake|Bentley|UNK|South Alabama
Jamal|Brooks|Defense|South Alabama
James|Jackson|Offense|South Alabama
Justin|Stevens|Offense|South Alabama
Kareem|Walker|Offense|South Alabama
Ke'Shun|Brown|Defense|South Alabama
Shawn|Steele|Defense|South Alabama
Ahmarean|Brown|Offense|South Carolina
David|Spaulding|Defense|South Carolina
Debo|Williams|Defense|South Carolina
EJ|Jenkins|Offense|South Carolina
Jahkeem|Green|Defense|South Carolina
Jason|Brown|UNK|South Carolina
Jordan|Strachan|Defense|South Carolina
Karon|Prunty|Defense|South Carolina
Briason|Mays|Defense|Southern Mississippi
Dashawn|Crawford|Defense|Southern Mississippi
Everitt|Cunningham|Defense|Southern Mississippi
Jay|Stanley|Defense|Southern Mississippi
Lakevias|Daniel|Defense|Southern Mississippi
Montra|Edwards|Defense|Southern Mississippi
Racheem|Booth|Defense|Southern Mississippi
Tee|Webb|Offense|Southern Mississippi
Chris|Curry|Offense|South Florida
Christian|Williams|Defense|South Florida
Demarcus|Gregory|Offense|South Florida
Jamari|Stewart|Defense|South Florida
Jaren|Mangham|Offense|South Florida
Matthew|Hill|Offense|South Florida
Timarcus|Simpson|Defense|South Florida
Will|Jones|Defense|South Florida
Xander|Yarberough|Defense|South Florida
Yusuf|Terry|Offense|South Florida
Joshua|Pakola|Defense|Stanford
Cody|Shear|Defense|Syracuse
Garrett|Shrader|UNK|Syracuse
Jason|Simmons|Defense|Syracuse
Chandler|Morris|UNK|TCU
Geor'quarius|Spivey|Offense|TCU
Kenny|Turnier|Defense|TCU
Obinna|Eze|Offense|TCU
Shadrach|Banks|Offense|TCU
T.J.|Carter|Defense|TCU
Amad|Anderson|Offense|Temple
Cameron|Ruiz|Defense|Temple
D'Wan|Mathis|Offense|Temple
Iverson|Clement|Offense|Temple
Jerquavion|Mahone|Defense|Temple
Keyshawn|Paul|Defense|Temple
Lancine|Turay|Defense|Temple
Luke|Foster|Defense|Temple
Ra'Von|Bonner|Offense|Temple
Will|Rodgers III|Defense|Temple
Xach|Gill|Defense|Temple
Brandon|Turnage|Defense|Tennessee
Caleb|Tremblay|Defense|Tennessee
Chase|McGrath|Special|Tennessee
Da'Jon|Terry|Defense|Tennessee
Hendon|Hooker|UNK|Tennessee
JaVonta|Payton|Offense|Tennessee
Joe|Milton III|Offense|Tennessee
Juwan|Mitchell|Defense|Tennessee
Kamal|Hadden|Defense|Tennessee
William|Mohan|Defense|Tennessee
Ben|Davis|Defense|Texas
Brenden|Schooler|Offense|Texas
Darion|Dunn|Defense|Texas
Devin|Richardson|Defense|Texas
Keilan|Robinson|Offense|Texas
Myron|Warren|Defense|Texas
Ovie|Oghoufo|Defense|Texas
Ray|Thornton|Defense|Texas
Jahmir|Johnson|Offense|Texas A&M
Charles|Fletcher|Offense|Texas State
Chris|Mills|Defense|Texas State
DeMarrquese|Hayes|Defense|Texas State
Dennis|Robinson|Offense|Texas State
Dontye|Carriere-Williams|Defense|Texas State
Eric|Sutton|Defense|Texas State
Graham|Faloona|Defense|Texas State
Jeremiah|Hawkins|Offense|Texas State
Jordan|Mitchell|Defense|Texas State
Julian|Ortega-Jones|Offense|Texas State
Kaimana|Wa'a|Defense|Texas State
Liam|Dick|Offense|Texas State
Liam|Dobson|Defense|Texas State
Michael|LoVett III|Defense|Texas State
Nick|Fulwider|Defense|Texas State
Nick|McCann|Defense|Texas State
Rontavius|Groves|Offense|Texas State
Troy|Lefeged|Defense|Texas State
Ty|Evans|Offense|Texas State
Colin|Schooler|Defense|Texas Tech
Jesiah|Pierre|Defense|Texas Tech
Kaylon|Geiger|Offense|Texas Tech
Kyron|Cumby|Offense|Texas Tech
Malik|Dunlap|Defense|Texas Tech
Marquis|Waters|Defense|Texas Tech
Rayshad|Williams|Defense|Texas Tech
Reggie|Pearson Jr.|Defense|Texas Tech
Robert|Wooten|Defense|Texas Tech
TJ|Storment|Offense|Texas Tech
Tyler|Shough|UNK|Texas Tech
Brayden|Fox|Offense|Toledo
Judge|Culpepper|Defense|Toledo
Matt|Landers|Offense|Toledo
Ronald|Delancy III|Defense|Toledo
Tucker|Gleason|Offense|Toledo
Elijah|Culp|Defense|Troy
Jamarcus|Chatman|Defense|Troy
Jordan|Anthony|Defense|Troy
Kevon|Glenn|Defense|Troy
La’Damian|Webb|Offense|Troy
Luke|Magliozzi|Special|Troy
Taiyon|Palmer|Defense|Troy
Taylor|Powell|Offense|Troy
Derrion|Rakestraw|Defense|Tulane
Devin|Brumfield|Offense|Tulane
Joseph|Dorceus|Defense|Tulane
Lance|Robinson|Defense|Tulane
Tyler|Lamm|Offense|Tulane
Bryce|Bray|Defense|Tulsa
Ezra|Naylor|Offense|Tulsa
Jon-Michael|Terry|Defense|Tulsa
Kenney|Solomon|Offense|Tulsa
Steven|Anderson|Offense|Tulsa
Will|Farniok|Defense|Tulsa
Charlie|Benton|Defense|UAB
Jalen|Mayala|Defense|UAB
Justin|Thomas|Defense|UAB
Lee|Witherspoon|Offense|UAB
Myron|Mitchell|Offense|UAB
TJ|Jones|Offense|UAB
Andrew|Brito|Offense|UCF
Brandon|Johnson|Offense|UCF
Isaiah|Bowser|Offense|UCF
Jarvis|Ware|Defense|UCF
Jordan|Johnson|Offense|UCF
Marco|Domio|Defense|UCF
Mark-Antony|Richards|Offense|UCF
Nate|Craig-Myers|Offense|UCF
RJ|Harvey Jr.|UNK|UCF
Ricky|Barber|Defense|UCF
Ale|Kaho|Defense|UCLA
Cameron|Johnson|Defense|UCLA
Devin|Aupiu|Defense|UCLA
Ethan|Garbers|UNK|UCLA
Jay|Toia|Defense|UCLA
Jordan|Genmark Heath|Defense|UCLA
Kam|Brown|Offense|UCLA
Zach|Charbonnet|Offense|UCLA
Brian|Parish|Offense|UMass
Bryce|Watts|Defense|UMass
Bryson|Richardson|Defense|UMass
Devin|Baldwin|Defense|UMass
Hunter|Salmon|Offense|UMass
Jay|LaRosa|Special|UMass
Kay'Ron|Adams|Offense|UMass
Martin|Laham|Offense|UMass
Qualeem|Charles|Offense|UMass
Rico|Arnold|Offense|UMass
Tyler|Lytle|UNK|UMass
Connor|Murphy|Defense|UNLV
Daviyon|McDaniel|Defense|UNLV
Jayvaun|Wilson|Offense|UNLV
Jordan|Jakes|Offense|UNLV
Kylan|Wilborn|Defense|UNLV
Tate|Martell|Offense|UNLV
Chris|Thompson Jr.|Defense|USC
